month,department,category,budget,actual,variance
2024-11-01,R&D,Marketing Programs,4200,4618,418
2024-11-01,R&D,Facilities,3600,4273,673
2024-11-01,R&D,Training,1800,1999,199
2024-11-01,R&D,Other,1200,1375,175
2024-11-01,Operations,Salaries & Wages,43700,41460,-2240
2024-11-01,Operations,Software & Cloud,15200,18205,3005
2024-11-01,Operations,Contractors,11400,11935,535
2024-11-01,Operations,Travel & Events,7600,7541,-59
2024-11-01,Operations,Marketing Programs,6650,6037,-613
2024-11-01,Operations,Facilities,5700,5710,10
2024-11-01,Operations,Training,2850,2733,-117
2024-11-01,Operations,Other,1900,1772,-128
2024-11-01,G&A,Salaries & Wages,18400,19746,1346
2024-11-01,G&A,Software & Cloud,6400,7776,1376
2024-11-01,G&A,Contractors,4800,4880,80
2024-11-01,G&A,Travel & Events,3200,2984,-216
2024-11-01,G&A,Marketing Programs,2800,2689,-111
2024-11-01,G&A,Facilities,2400,1986,-414
2024-11-01,G&A,Training,1200,1120,-80
2024-11-01,G&A,Other,800,771,-29
2024-11-01,Customer Success,Salaries & Wages,23000,24703,1703
2024-11-01,Customer Success,Software & Cloud,8000,9217,1217
2024-11-01,Customer Success,Contractors,6000,6814,814
2024-11-01,Customer Success,Travel & Events,4000,3891,-109
2024-11-01,Customer Success,Marketing Programs,3500,3896,396
2024-11-01,Customer Success,Facilities,3000,3271,271
2024-11-01,Customer Success,Training,1500,1522,22
2024-11-01,Customer Success,Other,1000,1171,171
2024-12-01,Sales,Salaries & Wages,55200,58498,3298
2024-12-01,Sales,Software & Cloud,19200,23633,4433
2024-12-01,Sales,Contractors,14400,15280,880
2024-12-01,Sales,Travel & Events,9600,10632,1032
2024-12-01,Sales,Marketing Programs,8400,9459,1059
2024-12-01,Sales,Facilities,7200,8335,1135
2024-12-01,Sales,Training,3600,3901,301
2024-12-01,Sales,Other,2400,2647,247
2024-12-01,Marketing,Salaries & Wages,36800,34102,-2698
2024-12-01,Marketing,Software & Cloud,12800,13264,464
2024-12-01,Marketing,Contractors,9600,9369,-231
2024-12-01,Marketing,Travel & Events,6400,5404,-996
2024-12-01,Marketing,Marketing Programs,5600,5441,-159
2024-12-01,Marketing,Facilities,4800,4540,-260
2024-12-01,Marketing,Training,2400,2078,-322
2024-12-01,Marketing,Other,1600,1414,-186
2024-12-01,R&D,Salaries & Wages,27600,30103,2503
2024-12-01,R&D,Software & Cloud,9600,13771,4171
2024-12-01,R&D,Contractors,7200,9083,1883
2024-12-01,R&D,Travel & Events,4800,5024,224
2024-12-01,R&D,Marketing Programs,4200,4521,321
2024-12-01,R&D,Facilities,3600,3816,216
2024-12-01,R&D,Training,1800,1930,130
2024-12-01,R&D,Other,1200,1433,233
2024-12-01,Operations,Salaries & Wages,43700,43110,-590
2024-12-01,Operations,Software & Cloud,15200,17416,2216
2024-12-01,Operations,Contractors,11400,12271,871
2024-12-01,Operations,Travel & Events,7600,7109,-491
2024-12-01,Operations,Marketing Programs,6650,5921,-729
2024-12-01,Operations,Facilities,5700,5676,-24
2024-12-01,Operations,Training,2850,2598,-252
2024-12-01,Operations,Other,1900,2024,124
2024-12-01,G&A,Salaries & Wages,18400,16996,-1404
2024-12-01,G&A,Software & Cloud,6400,7371,971
2024-12-01,G&A,Contractors,4800,5495,695
2024-12-01,G&A,Travel & Events,3200,2795,-405
2024-12-01,G&A,Marketing Programs,2800,2534,-266
2024-12-01,G&A,Facilities,2400,2349,-51
2024-12-01,G&A,Training,1200,1103,-97
2024-12-01,G&A,Other,800,729,-71
2024-12-01,Customer Success,Salaries & Wages,23000,25310,2310
2024-12-01,Customer Success,Software & Cloud,8000,11114,3114
2024-12-01,Customer Success,Contractors,6000,6830,830
2024-12-01,Customer Success,Travel & Events,4000,3892,-108
2024-12-01,Customer Success,Marketing Programs,3500,3413,-87
2024-12-01,Customer Success,Facilities,3000,3273,273
2024-12-01,Customer Success,Training,1500,1415,-85
2024-12-01,Customer Success,Other,1000,1002,2
2025-01-01,Sales,Salaries & Wages,57408,68081,10673
2025-01-01,Sales,Software & Cloud,19968,23886,3918
2025-01-01,Sales,Contractors,14976,18954,3978
2025-01-01,Sales,Travel & Events,9984,11054,1070
2025-01-01,Sales,Marketing Programs,8736,9453,717
2025-01-01,Sales,Facilities,7488,8501,1013
2025-01-01,Sales,Training,3744,4392,648
2025-01-01,Sales,Other,2496,2709,213
2025-01-01,Marketing,Salaries & Wages,38272,33755,-4517
2025-01-01,Marketing,Software & Cloud,13312,12900,-412
2025-01-01,Marketing,Contractors,9984,9879,-105
2025-01-01,Marketing,Travel & Events,6656,6116,-540
2025-01-01,Marketing,Marketing Programs,5824,5469,-355
2025-01-01,Marketing,Facilities,4992,4312,-680
2025-01-01,Marketing,Training,2496,2059,-437
2025-01-01,Marketing,Other,1664,1475,-189
2025-01-01,R&D,Salaries & Wages,28704,33162,4458
2025-01-01,R&D,Software & Cloud,9984,12875,2891
2025-01-01,R&D,Contractors,7488,9299,1811
2025-01-01,R&D,Travel & Events,4992,5307,315
2025-01-01,R&D,Marketing Programs,4368,4724,356
2025-01-01,R&D,Facilities,3744,4240,496
2025-01-01,R&D,Training,1872,2044,172
2025-01-01,R&D,Other,1248,1410,162
2025-01-01,Operations,Salaries & Wages,45448,47310,1862
2025-01-01,Operations,Software & Cloud,15808,20542,4734
2025-01-01,Operations,Contractors,11856,13400,1544
2025-01-01,Operations,Travel & Events,7904,7369,-535
2025-01-01,Operations,Marketing Programs,6916,6124,-792
2025-01-01,Operations,Facilities,5928,6128,200
2025-01-01,Operations,Training,2964,2530,-434
2025-01-01,Operations,Other,1976,1834,-142
2025-01-01,G&A,Salaries & Wages,19136,19477,341
2025-01-01,G&A,Software & Cloud,6656,7722,1066
2025-01-01,G&A,Contractors,4992,5167,175
2025-01-01,G&A,Travel & Events,3328,2672,-656
2025-01-01,G&A,Marketing Programs,2912,2671,-241
2025-01-01,G&A,Facilities,2496,2317,-179
2025-01-01,G&A,Training,1248,1191,-57
2025-01-01,G&A,Other,832,921,89
2025-01-01,Customer Success,Salaries & Wages,23920,25982,2062
2025-01-01,Customer Success,Software & Cloud,8320,9790,1470
2025-01-01,Customer Success,Contractors,6240,6736,496
2025-01-01,Customer Success,Travel & Events,4160,4090,-70
2025-01-01,Customer Success,Marketing Programs,3640,3746,106
2025-01-01,Customer Success,Facilities,3120,3122,2
2025-01-01,Customer Success,Training,1560,1600,40
2025-01-01,Customer Success,Other,1040,1041,1
2025-02-01,Sales,Salaries & Wages,57408,67560,10152
2025-02-01,Sales,Software & Cloud,19968,26944,6976
2025-02-01,Sales,Contractors,14976,19003,4027
2025-02-01,Sales,Travel & Events,9984,9828,-156
2025-02-01,Sales,Marketing Programs,8736,9621,885
2025-02-01,Sales,Facilities,7488,8178,690
2025-02-01,Sales,Training,3744,3825,81
2025-02-01,Sales,Other,2496,2692,196
2025-02-01,Marketing,Salaries & Wages,38272,32323,-5949
2025-02-01,Marketing,Software & Cloud,13312,12818,-494
2025-02-01,Marketing,Contractors,9984,10326,342
2025-02-01,Marketing,Travel & Events,6656,5527,-1129
2025-02-01,Marketing,Marketing Programs,5824,5225,-599
2025-02-01,Marketing,Facilities,4992,4840,-152
2025-02-01,Marketing,Training,2496,1951,-545
2025-02-01,Marketing,Other,1664,1449,-215
2025-02-01,R&D,Salaries & Wages,28704,32993,4289
2025-02-01,R&D,Software & Cloud,9984,13370,3386
2025-02-01,R&D,Contractors,7488,8992,1504
2025-02-01,R&D,Travel & Events,4992,5556,564
2025-02-01,R&D,Marketing Programs,4368,4880,512
2025-02-01,R&D,Facilities,3744,3959,215
2025-02-01,R&D,Training,1872,1913,41
2025-02-01,R&D,Other,1248,1490,242
2025-02-01,Operations,Salaries & Wages,45448,47198,1750
2025-02-01,Operations,Software & Cloud,15808,16384,576
2025-02-01,Operations,Contractors,11856,14022,2166
2025-02-01,Operations,Travel & Events,7904,7613,-291
2025-02-01,Operations,Marketing Programs,6916,7344,428
2025-02-01,Operations,Facilities,5928,5851,-77
2025-02-01,Operations,Training,2964,2794,-170
2025-02-01,Operations,Other,1976,1865,-111
2025-02-01,G&A,Salaries & Wages,19136,21536,2400
2025-02-01,G&A,Software & Cloud,6656,7321,665
2025-02-01,G&A,Contractors,4992,5732,740
2025-02-01,G&A,Travel & Events,3328,2847,-481
2025-02-01,G&A,Marketing Programs,2912,2757,-155
2025-02-01,G&A,Facilities,2496,2182,-314
2025-02-01,G&A,Training,1248,1120,-128
2025-02-01,G&A,Other,832,853,21
2025-02-01,Customer Success,Salaries & Wages,23920,23829,-91
2025-02-01,Customer Success,Software & Cloud,8320,10958,2638
2025-02-01,Customer Success,Contractors,6240,7385,1145
2025-02-01,Customer Success,Travel & Events,4160,3861,-299
2025-02-01,Customer Success,Marketing Programs,3640,3679,39
2025-02-01,Customer Success,Facilities,3120,3260,140
2025-02-01,Customer Success,Training,1560,1587,27
2025-02-01,Customer Success,Other,1040,1082,42
2025-03-01,Sales,Salaries & Wages,57408,60281,2873
2025-03-01,Sales,Software & Cloud,19968,24881,4913
2025-03-01,Sales,Contractors,14976,16781,1805
2025-03-01,Sales,Travel & Events,9984,9381,-603
2025-03-01,Sales,Marketing Programs,8736,9324,588
2025-03-01,Sales,Facilities,7488,8712,1224
2025-03-01,Sales,Training,3744,3581,-163
2025-03-01,Sales,Other,2496,2755,259
2025-03-01,Marketing,Salaries & Wages,38272,33575,-4697
2025-03-01,Marketing,Software & Cloud,13312,13169,-143
2025-03-01,Marketing,Contractors,9984,10352,368
2025-03-01,Marketing,Travel & Events,6656,5415,-1241
2025-03-01,Marketing,Marketing Programs,5824,5638,-186
2025-03-01,Marketing,Facilities,4992,4345,-647
2025-03-01,Marketing,Training,2496,2214,-282
2025-03-01,Marketing,Other,1664,1497,-167
2025-03-01,R&D,Salaries & Wages,28704,31263,2559
2025-03-01,R&D,Software & Cloud,9984,13554,3570
2025-03-01,R&D,Contractors,7488,9130,1642
2025-03-01,R&D,Travel & Events,4992,5427,435
2025-03-01,R&D,Marketing Programs,4368,4815,447
2025-03-01,R&D,Facilities,3744,3997,253
2025-03-01,R&D,Training,1872,2014,142
2025-03-01,R&D,Other,1248,1427,179
2025-03-01,Operations,Salaries & Wages,45448,48620,3172
2025-03-01,Operations,Software & Cloud,15808,17389,1581
2025-03-01,Operations,Contractors,11856,12902,1046
2025-03-01,Operations,Travel & Events,7904,6624,-1280
2025-03-01,Operations,Marketing Programs,6916,7046,130
2025-03-01,Operations,Facilities,5928,5611,-317
2025-03-01,Operations,Training,2964,2552,-412
2025-03-01,Operations,Other,1976,1989,13
2025-03-01,G&A,Salaries & Wages,19136,19755,619
2025-03-01,G&A,Software & Cloud,6656,6748,92
2025-03-01,G&A,Contractors,4992,4879,-113
2025-03-01,G&A,Travel & Events,3328,2829,-499
2025-03-01,G&A,Marketing Programs,2912,2550,-362
2025-03-01,G&A,Facilities,2496,2467,-29
2025-03-01,G&A,Training,1248,1091,-157
2025-03-01,G&A,Other,832,770,-62
2025-03-01,Customer Success,Salaries & Wages,23920,26646,2726
2025-03-01,Customer Success,Software & Cloud,8320,9836,1516
2025-03-01,Customer Success,Contractors,6240,7440,1200
2025-03-01,Customer Success,Travel & Events,4160,3884,-276
2025-03-01,Customer Success,Marketing Programs,3640,3532,-108
2025-03-01,Customer Success,Facilities,3120,3006,-114
2025-03-01,Customer Success,Training,1560,1782,222
2025-03-01,Customer Success,Other,1040,1097,57
2025-04-01,Sales,Salaries & Wages,57408,64434,7026
2025-04-01,Sales,Software & Cloud,19968,25352,5384
2025-04-01,Sales,Contractors,14976,18062,3086
2025-04-01,Sales,Travel & Events,9984,10190,206
2025-04-01,Sales,Marketing Programs,8736,10510,1774
2025-04-01,Sales,Facilities,7488,7782,294
2025-04-01,Sales,Training,3744,3583,-161
2025-04-01,Sales,Other,2496,2598,102
2025-04-01,Marketing,Salaries & Wages,38272,32193,-6079
2025-04-01,Marketing,Software & Cloud,13312,14590,1278
2025-04-01,Marketing,Contractors,9984,10322,338
2025-04-01,Marketing,Travel & Events,6656,5268,-1388
2025-04-01,Marketing,Marketing Programs,5824,4736,-1088
2025-04-01,Marketing,Facilities,4992,4453,-539
2025-04-01,Marketing,Training,2496,2349,-147
2025-04-01,Marketing,Other,1664,1280,-384
2025-04-01,R&D,Salaries & Wages,28704,33825,5121
2025-04-01,R&D,Software & Cloud,9984,12290,2306
2025-04-01,R&D,Contractors,7488,9828,2340
2025-04-01,R&D,Travel & Events,4992,4915,-77
2025-04-01,R&D,Marketing Programs,4368,4755,387
2025-04-01,R&D,Facilities,3744,3905,161
2025-04-01,R&D,Training,1872,1915,43
2025-04-01,R&D,Other,1248,1548,300
2025-04-01,Operations,Salaries & Wages,45448,48219,2771
2025-04-01,Operations,Software & Cloud,15808,17924,2116
2025-04-01,Operations,Contractors,11856,12275,419
2025-04-01,Operations,Travel & Events,7904,6556,-1348
2025-04-01,Operations,Marketing Programs,6916,6617,-299
2025-04-01,Operations,Facilities,5928,5976,48
2025-04-01,Operations,Training,2964,2830,-134
2025-04-01,Operations,Other,1976,1985,9
2025-04-01,G&A,Salaries & Wages,19136,17276,-1860
2025-04-01,G&A,Software & Cloud,6656,7362,706
2025-04-01,G&A,Contractors,4992,5194,202
2025-04-01,G&A,Travel & Events,3328,3195,-133
2025-04-01,G&A,Marketing Programs,2912,3051,139
2025-04-01,G&A,Facilities,2496,2391,-105
2025-04-01,G&A,Training,1248,1093,-155
2025-04-01,G&A,Other,832,800,-32
2025-04-01,Customer Success,Salaries & Wages,23920,24849,929
2025-04-01,Customer Success,Software & Cloud,8320,9859,1539
2025-04-01,Customer Success,Contractors,6240,7235,995
2025-04-01,Customer Success,Travel & Events,4160,3873,-287
2025-04-01,Customer Success,Marketing Programs,3640,3945,305
2025-04-01,Customer Success,Facilities,3120,3341,221
2025-04-01,Customer Success,Training,1560,1621,61
2025-04-01,Customer Success,Other,1040,1108,68
2025-05-01,Sales,Salaries & Wages,57408,60930,3522
2025-05-01,Sales,Software & Cloud,19968,24052,4084
2025-05-01,Sales,Contractors,14976,17679,2703
2025-05-01,Sales,Travel & Events,9984,9854,-130
2025-05-01,Sales,Marketing Programs,8736,9528,792
2025-05-01,Sales,Facilities,7488,8300,812
