month,plan,region,active_customers,mrr,new_mrr,churned_mrr
2025-01-01,Free,LATAM,1853,0.0,0.0,0.0
2025-02-01,Enterprise,North America,91,160969.89,23445.61,4006.75
2025-02-01,Enterprise,EMEA,82,147080.34,21422.57,3661.02
2025-02-01,Enterprise,APAC,68,122705.35,17872.3,3054.3
2025-02-01,Enterprise,LATAM,54,102372.06,14910.71,2548.17
2025-02-01,Business,North America,315,149734.28,20376.88,3727.08
2025-02-01,Business,EMEA,271,120956.89,16460.66,3010.77
2025-02-01,Business,APAC,210,106760.49,14528.71,2657.41
2025-02-01,Business,LATAM,177,85246.9,11600.99,2121.91
2025-02-01,Starter,North America,1256,61101.88,7996.38,3650.17
2025-02-01,Starter,EMEA,994,48119.89,6297.43,2874.64
2025-02-01,Starter,APAC,754,38360.21,5020.18,2291.61
2025-02-01,Starter,LATAM,634,30949.28,4050.32,1848.88
2025-02-01,Free,North America,3555,0.0,0.0,0.0
2025-02-01,Free,EMEA,2732,0.0,0.0,0.0
2025-02-01,Free,APAC,2791,0.0,0.0,0.0
2025-02-01,Free,LATAM,1918,0.0,0.0,0.0
2025-03-01,Enterprise,North America,105,191824.91,28315.02,4712.22
2025-03-01,Enterprise,EMEA,88,163773.7,24174.42,4023.14
2025-03-01,Enterprise,APAC,69,129619.11,19132.91,3184.12
2025-03-01,Enterprise,LATAM,57,100370.75,14815.6,2465.63
2025-03-01,Business,North America,320,155748.95,21313.91,3826.01
2025-03-01,Business,EMEA,285,137196.98,18775.11,3370.27
2025-03-01,Business,APAC,231,122069.38,16704.93,2998.66
2025-03-01,Business,LATAM,161,71323.15,9760.42,1752.07
2025-03-01,Starter,North America,1198,56473.05,7396.74,3329.45
2025-03-01,Starter,EMEA,1015,46632.25,6107.81,2749.28
2025-03-01,Starter,APAC,831,42911.06,5620.42,2529.89
2025-03-01,Starter,LATAM,678,31794.47,4164.38,1874.49
2025-03-01,Free,North America,3588,0.0,0.0,0.0
2025-03-01,Free,EMEA,3378,0.0,0.0,0.0
2025-03-01,Free,APAC,2417,0.0,0.0,0.0
2025-03-01,Free,LATAM,1927,0.0,0.0,0.0
2025-04-01,Enterprise,North America,114,191863.38,28696.09,4650.6
2025-04-01,Enterprise,EMEA,88,164642.59,24624.8,3990.79
2025-04-01,Enterprise,APAC,72,133620.3,19984.95,3238.84
2025-04-01,Enterprise,LATAM,54,100261.86,14995.69,2430.26
2025-04-01,Business,North America,337,172593.75,23750.4,4183.52
2025-04-01,Business,EMEA,275,130151.09,17909.92,3154.75
2025-04-01,Business,APAC,227,113622.71,15635.47,2754.12
2025-04-01,Business,LATAM,170,81137.41,11165.21,1966.7
2025-04-01,Starter,North America,1317,66578.9,8727.63,3873.16
2025-04-01,Starter,EMEA,1048,50292.71,6592.72,2925.72
2025-04-01,Starter,APAC,864,40408.96,5297.09,2350.75
2025-04-01,Starter,LATAM,597,28170.81,3692.83,1638.81
2025-04-01,Free,North America,3943,0.0,0.0,0.0
2025-04-01,Free,EMEA,2966,0.0,0.0,0.0
2025-04-01,Free,APAC,2601,0.0,0.0,0.0
2025-04-01,Free,LATAM,1823,0.0,0.0,0.0
2025-05-01,Enterprise,North America,116,203054.06,30767.1,4855.64
2025-05-01,Enterprise,EMEA,92,168881.38,25589.2,4038.47
2025-05-01,Enterprise,APAC,76,137554.18,20842.45,3289.34
2025-05-01,Enterprise,LATAM,56,93712.07,14199.42,2240.94
2025-05-01,Business,North America,376,181715.95,25143.96,4345.38
2025-05-01,Business,EMEA,285,139612.69,19318.15,3338.56
2025-05-01,Business,APAC,247,123048.23,17026.13,2942.46
2025-05-01,Business,LATAM,170,81231.96,11240.03,1942.5
2025-05-01,Starter,North America,1202,60720.31,7966.24,3484.82
2025-05-01,Starter,EMEA,983,48907.38,6416.44,2806.86
2025-05-01,Starter,APAC,838,43391.43,5692.77,2490.29
2025-05-01,Starter,LATAM,566,27822.43,3650.18,1596.77
2025-05-01,Free,North America,3766,0.0,0.0,0.0
2025-05-01,Free,EMEA,3132,0.0,0.0,0.0
2025-05-01,Free,APAC,2651,0.0,0.0,0.0
2025-05-01,Free,LATAM,1911,0.0,0.0,0.0
2025-06-01,Enterprise,North America,117,203418.74,31220.35,4798.03
2025-06-01,Enterprise,EMEA,100,191251.58,29352.96,4511.04
2025-06-01,Enterprise,APAC,80,145323.69,22304.03,3427.74
2025-06-01,Enterprise,LATAM,62,117961.64,18104.55,2782.36
2025-06-01,Business,North America,362,174346.86,24256.95,4112.31
2025-06-01,Business,EMEA,297,142816.58,19870.13,3368.61
2025-06-01,Business,APAC,228,112854.96,15701.56,2661.91
2025-06-01,Business,LATAM,181,83975.86,11683.6,1980.73
2025-06-01,Starter,North America,1113,56744.79,7450.84,3212.25
2025-06-01,Starter,EMEA,968,45371.08,5957.42,2568.4
2025-06-01,Starter,APAC,820,41386.2,5434.19,2342.82
2025-06-01,Starter,LATAM,592,29756.34,3907.14,1684.47
2025-06-01,Free,North America,3806,0.0,0.0,0.0
2025-06-01,Free,EMEA,2983,0.0,0.0,0.0
2025-06-01,Free,APAC,2846,0.0,0.0,0.0
2025-06-01,Free,LATAM,2122,0.0,0.0,0.0
2025-07-01,Enterprise,North America,108,194389.81,30214.94,4521.68
2025-07-01,Enterprise,EMEA,104,183515.2,28524.65,4268.72
2025-07-01,Enterprise,APAC,86,148270.09,23046.33,3448.89
2025-07-01,Enterprise,LATAM,58,102585.78,15945.4,2386.23
2025-07-01,Business,North America,354,167333.72,23408.53,3892.33
2025-07-01,Business,EMEA,303,136745.07,19129.45,3180.81
2025-07-01,Business,APAC,230,116630.18,16315.55,2712.92
2025-07-01,Business,LATAM,163,79228.72,11083.41,1842.93
2025-07-01,Starter,North America,1150,54707.41,7189.27,3054.1
2025-07-01,Starter,EMEA,1001,46257.17,6078.8,2582.36
2025-07-01,Starter,APAC,872,43744.54,5748.6,2442.09
2025-07-01,Starter,LATAM,688,33940.51,4460.23,1894.77
2025-07-01,Free,North America,3589,0.0,0.0,0.0
2025-07-01,Free,EMEA,2977,0.0,0.0,0.0
2025-07-01,Free,APAC,2893,0.0,0.0,0.0
2025-07-01,Free,LATAM,2071,0.0,0.0,0.0
2025-08-01,Enterprise,North America,119,219358.35,34525.1,5030.94
2025-08-01,Enterprise,EMEA,98,174118.29,27404.7,3993.37
2025-08-01,Enterprise,APAC,83,158674.92,24974.05,3639.17
2025-08-01,Enterprise,LATAM,62,116473.46,18331.91,2671.29
2025-08-01,Business,North America,346,154840.73,21778.69,3551.24
2025-08-01,Business,EMEA,266,124215.3,17471.15,2848.85
2025-08-01,Business,APAC,253,122756.71,17266.0,2815.4
2025-08-01,Business,LATAM,204,98679.7,13879.51,2263.2
2025-08-01,Starter,North America,1295,64126.45,8434.02,3529.74
2025-08-01,Starter,EMEA,975,49188.49,6469.36,2707.51
2025-08-01,Starter,APAC,804,37244.5,4898.46,2050.07
2025-08-01,Starter,LATAM,625,30164.69,3967.31,1660.37
2025-08-01,Free,North America,3841,0.0,0.0,0.0
2025-08-01,Free,EMEA,3309,0.0,0.0,0.0
2025-08-01,Free,APAC,2380,0.0,0.0,0.0
2025-08-01,Free,LATAM,2326,0.0,0.0,0.0
2025-09-01,Enterprise,North America,116,202705.39,32300.66,4582.9
2025-09-01,Enterprise,EMEA,99,174831.48,27859.02,3952.71
2025-09-01,Enterprise,APAC,93,158385.09,25238.32,3580.88
2025-09-01,Enterprise,LATAM,64,122051.16,19448.59,2759.42
2025-09-01,Business,North America,356,173304.5,24507.52,3918.19
2025-09-01,Business,EMEA,291,145194.52,20532.4,3282.66
2025-09-01,Business,APAC,231,115329.77,16309.13,2607.46
2025-09-01,Business,LATAM,190,90596.88,12811.58,2048.28
2025-09-01,Starter,North America,1177,59974.54,7894.47,3254.27
2025-09-01,Starter,EMEA,1041,50260.51,6615.81,2727.18
2025-09-01,Starter,APAC,842,39594.13,5211.79,2148.41
2025-09-01,Starter,LATAM,694,35985.57,4736.8,1952.61
2025-09-01,Free,North America,4050,0.0,0.0,0.0
2025-09-01,Free,EMEA,3321,0.0,0.0,0.0
2025-09-01,Free,APAC,2600,0.0,0.0,0.0
2025-09-01,Free,LATAM,2047,0.0,0.0,0.0
2025-10-01,Enterprise,North America,124,216971.04,34998.37,4834.68
2025-10-01,Enterprise,EMEA,114,202916.58,32731.33,4521.51
2025-10-01,Enterprise,APAC,85,141292.71,22791.13,3148.37
2025-10-01,Enterprise,LATAM,63,112488.46,18144.88,2506.54
2025-10-01,Business,North America,361,161505.63,22961.89,3598.77
2025-10-01,Business,EMEA,301,146535.12,20833.47,3265.18
2025-10-01,Business,APAC,240,115562.46,16429.97,2575.03
2025-10-01,Business,LATAM,205,95571.79,13587.82,2129.59
2025-10-01,Starter,North America,1113,53757.0,7081.9,2874.83
2025-10-01,Starter,EMEA,981,48009.16,6324.68,2567.45
2025-10-01,Starter,APAC,868,44104.81,5810.33,2358.65
2025-10-01,Starter,LATAM,663,34386.19,4530.01,1838.91
2025-10-01,Free,North America,3923,0.0,0.0,0.0
2025-10-01,Free,EMEA,3318,0.0,0.0,0.0
2025-10-01,Free,APAC,2600,0.0,0.0,0.0
2025-10-01,Free,LATAM,2015,0.0,0.0,0.0
2025-11-01,Enterprise,North America,130,245204.89,40032.36,5383.85
2025-11-01,Enterprise,EMEA,108,199402.96,32554.7,4378.2
2025-11-01,Enterprise,APAC,84,149549.26,24415.54,3283.58
2025-11-01,Enterprise,LATAM,74,135129.18,22061.31,2966.97
2025-11-01,Business,North America,328,157328.65,22487.74,3454.39
2025-11-01,Business,EMEA,301,137849.02,19703.42,3026.69
2025-11-01,Business,APAC,228,105400.78,15065.44,2314.23
2025-11-01,Business,LATAM,183,90429.32,12925.5,1985.51
2025-11-01,Starter,North America,1249,62820.02,8282.68,3310.34
2025-11-01,Starter,EMEA,1084,48704.74,6421.61,2566.53
2025-11-01,Starter,APAC,828,41148.32,5425.32,2168.34
2025-11-01,Starter,LATAM,632,30214.99,3983.78,1592.2
2025-11-01,Free,North America,3729,0.0,0.0,0.0
2025-11-01,Free,EMEA,3275,0.0,0.0,0.0
2025-11-01,Free,APAC,2740,0.0,0.0,0.0
2025-11-01,Free,LATAM,2088,0.0,0.0,0.0
2025-12-01,Enterprise,North America,133,247551.74,40899.85,5354.65
2025-12-01,Enterprise,EMEA,115,198479.31,32792.23,4293.19
2025-12-01,Enterprise,APAC,85,157430.7,26010.29,3405.29
2025-12-01,Enterprise,LATAM,72,131201.76,21676.81,2837.95
2025-12-01,Business,North America,349,172706.34,24817.15,3735.71
2025-12-01,Business,EMEA,319,151691.83,21797.46,3281.16
2025-12-01,Business,APAC,259,119955.82,17237.13,2594.7
2025-12-01,Business,LATAM,195,86471.46,12425.57,1870.42
2025-12-01,Starter,North America,1199,64883.63,8561.82,3368.31
2025-12-01,Starter,EMEA,1067,56072.43,7399.12,2910.89
2025-12-01,Starter,APAC,867,42958.05,5668.59,2230.08
2025-12-01,Starter,LATAM,663,32029.67,4226.52,1662.76
2025-12-01,Free,North America,4063,0.0,0.0,0.0
2025-12-01,Free,EMEA,3324,0.0,0.0,0.0
2025-12-01,Free,APAC,2782,0.0,0.0,0.0
2025-12-01,Free,LATAM,2226,0.0,0.0,0.0
2026-01-01,Enterprise,North America,134,231229.86,38655.6,4926.2
2026-01-01,Enterprise,EMEA,114,202080.35,33782.56,4305.19
2026-01-01,Enterprise,APAC,94,172215.29,28789.9,3668.93
2026-01-01,Enterprise,LATAM,74,128586.36,21496.28,2739.45
2026-01-01,Business,North America,379,185331.92,26772.4,3948.38
2026-01-01,Business,EMEA,290,141331.19,20416.21,3010.97
2026-01-01,Business,APAC,254,124023.19,17915.96,2642.23
2026-01-01,Business,LATAM,188,89215.66,12887.78,1900.68
2026-01-01,Starter,North America,1205,56260.54,7430.06,2876.63
2026-01-01,Starter,EMEA,1059,51328.5,6778.71,2624.45
2026-01-01,Starter,APAC,861,40566.9,5357.48,2074.2
2026-01-01,Starter,LATAM,612,28653.28,3784.1,1465.05
2026-01-01,Free,North America,3534,0.0,0.0,0.0
2026-01-01,Free,EMEA,3403,0.0,0.0,0.0
2026-01-01,Free,APAC,2896,0.0,0.0,0.0
2026-01-01,Free,LATAM,2269,0.0,0.0,0.0
2026-02-01,Enterprise,North America,140,262365.71,44374.03,5503.98
2026-02-01,Enterprise,EMEA,121,196619.28,33254.3,4124.73
2026-02-01,Enterprise,APAC,97,175418.83,29668.66,3679.98
2026-02-01,Enterprise,LATAM,76,134276.66,22710.27,2816.89
2026-02-01,Business,North America,360,169601.76,24629.13,3557.95
2026-02-01,Business,EMEA,328,160763.5,23345.66,3372.54
2026-02-01,Business,APAC,279,127449.9,18507.94,2673.68
2026-02-01,Business,LATAM,213,110702.46,16075.92,2322.35
2026-02-01,Starter,North America,1168,57518.66,7602.47,2895.94
2026-02-01,Starter,EMEA,954,41771.72,5521.13,2103.12
2026-02-01,Starter,APAC,789,38738.39,5120.2,1950.39
2026-02-01,Starter,LATAM,664,32023.72,4232.7,1612.32
2026-02-01,Free,North America,4101,0.0,0.0,0.0
2026-02-01,Free,EMEA,3699,0.0,0.0,0.0
2026-02-01,Free,APAC,2624,0.0,0.0,0.0
2026-02-01,Free,LATAM,2065,0.0,0.0,0.0
2026-03-01,Enterprise,North America,160,283642.2,48527.48,5857.83
2026-03-01,Enterprise,EMEA,124,210387.6,35994.57,4344.96
2026-03-01,Enterprise,APAC,94,175213.94,29976.82,3618.55
2026-03-01,Enterprise,LATAM,80,134659.13,23038.42,2781.0
2026-03-01,Business,North America,420,205147.11,29947.02,4236.73
2026-03-01,Business,EMEA,306,149753.81,21860.8,3092.74
2026-03-01,Business,APAC,252,113852.38,16619.97,2351.3
2026-03-01,Business,LATAM,205,101855.13,14868.63,2103.53
2026-03-01,Starter,North America,1293,59101.17,7818.06,2929.36
2026-03-01,Starter,EMEA,984,47820.12,6325.77,2370.21
2026-03-01,Starter,APAC,894,46259.48,6119.32,2292.86
2026-03-01,Starter,LATAM,644,29991.18,3967.31,1486.52
2026-03-01,Free,North America,4116,0.0,0.0,0.0
2026-03-01,Free,EMEA,3457,0.0,0.0,0.0
2026-03-01,Free,APAC,2857,0.0,0.0,0.0
2026-03-01,Free,LATAM,2017,0.0,0.0,0.0
2026-04-01,Enterprise,North America,150,283123.44,48992.66,5754.79
2026-04-01,Enterprise,EMEA,116,204077.53,35314.29,4148.1
2026-04-01,Enterprise,APAC,95,169847.52,29391.01,3452.34
2026-04-01,Enterprise,LATAM,74,128368.5,22213.33,2609.23
2026-04-01,Business,North America,407,202799.32,29758.6,4122.12
2026-04-01,Business,EMEA,322,161897.57,23756.71,3290.74
2026-04-01,Business,APAC,255,124612.11,18285.47,2532.88
2026-04-01,Business,LATAM,195,90529.14,13284.17,1840.1
2026-04-01,Starter,North America,1286,59779.69,7914.31,2916.21
2026-04-01,Starter,EMEA,1012,47092.28,6234.61,2297.28
2026-04-01,Starter,APAC,792,38708.83,5124.71,1888.32
2026-04-01,Starter,LATAM,659,30202.5,3998.55,1473.36
2026-04-01,Free,North America,4488,0.0,0.0,0.0
2026-04-01,Free,EMEA,3232,0.0,0.0,0.0
2026-04-01,Free,APAC,2795,0.0,0.0,0.0
2026-04-01,Free,LATAM,2014,0.0,0.0,0.0
2026-05-01,Enterprise,North America,145,273179.96,47806.49,5463.6
2026-05-01,Enterprise,EMEA,125,214680.97,37569.17,4293.62
2026-05-01,Enterprise,APAC,98,175435.43,30701.2,3508.71
2026-05-01,Enterprise,LATAM,83,141622.41,24783.92,2832.45
2026-05-01,Business,North America,389,196347.88,28961.31,3926.96
2026-05-01,Business,EMEA,301,152673.26,22519.31,3053.47
2026-05-01,Business,APAC,258,123072.17,18153.15,2461.44
2026-05-01,Business,LATAM,201,97610.85,14397.6,1952.22
2026-05-01,Starter,North America,1255,62649.13,8301.01,3007.16
2026-05-01,Starter,EMEA,1198,52735.19,6987.41,2531.29
2026-05-01,Starter,APAC,824,38086.52,5046.46,1828.15
2026-05-01,Starter,LATAM,651,30871.53,4090.48,1481.83
2026-05-01,Free,North America,3985,0.0,0.0,0.0
2026-05-01,Free,EMEA,3315,0.0,0.0,0.0
2026-05-01,Free,APAC,2591,0.0,0.0,0.0
2026-05-01,Free,LATAM,2179,0.0,0.0,0.0
